Rating Area ID*,Tobacco*,Age*,Individual Rate*,,Tobacco Rate*
57129MN0220001,Rating Area 9,No Preference,44,405.92,
57129MN0220001,Rating Area 9,No Preference,45,419.57,
57129MN0220001,Rating Area 9,No Preference,46,435.84,
57129MN0220001,Rating Area 9,No Preference,47,454.15,
57129MN0220001,Rating Area 9,No Preference,48,475.07,
57129MN0220001,Rating Area 9,No Preference,49,495.7,
57129MN0220001,Rating Area 9,No Preference,50,518.94,
57129MN0220001,Rating Area 9,No Preference,51,541.9,
57129MN0220001,Rating Area 9,No Preference,52,567.18,
57129MN0220001,Rating Area 9,No Preference,53,592.75,
57129MN0220001,Rating Area 9,No Preference,54,620.35,
57129MN0220001,Rating Area 9,No Preference,55,647.95,
57129MN0220001,Rating Area 9,No Preference,56,677.88,
57129MN0220001,Rating Area 9,No Preference,57,708.1,
57129MN0220001,Rating Area 9,No Preference,58,740.35,
57129MN0220001,Rating Area 9,No Preference,59,756.33,
57129MN0220001,Rating Area 9,No Preference,60,788.59,
57129MN0220001,Rating Area 9,No Preference,61,816.48,
57129MN0220001,Rating Area 9,No Preference,62,834.79,
57129MN0220001,Rating Area 9,No Preference,63,857.74,
57129MN0220001,Rating Area 9,No Preference,64 and over,871.68,
57129MN0220003,Rating Area 1,No Preference,0-14,314.2,
57129MN0220003,Rating Area 1,No Preference,15,314.2,
57129MN0220003,Rating Area 1,No Preference,16,314.2,
57129MN0220003,Rating Area 1,No Preference,17,314.2,
57129MN0220003,Rating Area 1,No Preference,18,314.2,
57129MN0220003,Rating Area 1,No Preference,19,314.2,
57129MN0220003,Rating Area 1,No Preference,20,314.2,
57129MN0220003,Rating Area 1,No Preference,21,353.04,
57129MN0220003,Rating Area 1,No Preference,22,353.04,
57129MN0220003,Rating Area 1,No Preference,23,353.04,
57129MN0220003,Rating Area 1,No Preference,24,353.04,
57129MN0220003,Rating Area 1,No Preference,25,354.45,
57129MN0220003,Rating Area 1,No Preference,26,361.51,
57129MN0220003,Rating Area 1,No Preference,27,369.98,
57129MN0220003,Rating Area 1,No Preference,28,383.75,
